COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,COMPENSATION_AMOUNT,CLIENT_ID,CLIENT_NAME,CREATED_DATE
43240,07/01/2015,09/30/2015,24741,Tony,,Abboud,$2500.00,18101,"Ryan Companies US, Inc.",10/13/2015
45521,07/01/2015,09/30/2015,23062,Edward,,Acevedo,$5000.00,13278,Tropical Optical,11/03/2015
44502,07/01/2015,09/30/2015,22788,Rolando,R,Acosta,$3000.00,24606,Troy Leight,10/20/2015
44504,07/01/2015,09/30/2015,22788,Rolando,R,Acosta,$4000.00,24602,L.V.M. Corporation,10/20/2015
44506,07/01/2015,09/30/2015,22788,Rolando,R,Acosta,$4000.00,24605,"Education Capital Solutions, LLC",10/20/2015
44543,07/01/2015,09/30/2015,22788,Rolando,R,Acosta,$10000.00,21072,LG Development Group,10/20/2015
44549,07/01/2015,09/30/2015,22788,Rolando,R,Acosta,$20000.00,24607,"Englewood Square, LP",10/20/2015
44130,07/01/2015,09/30/2015,22692,Lawrence,S.,Adelson,$1300.00,22541,"LOMA Management Services, LLC",10/16/2015
43058,07/01/2015,09/30/2015,22963,Bradley,M,Ader,$240.00,24672,Pancal Pulaski LLC,10/12/2015
42235,07/01/2015,09/30/2015,22280,Justin,,Albert,$1000.00,17983,"JCDecaux Airport Chicago, LLC",09/30/2015
42236,07/01/2015,09/30/2015,22280,Justin,,Albert,$14000.00,16623,"Interstate JCDecaux, LLC",09/30/2015
44433,07/01/2015,09/30/2015,22713,Adrienne,M,Alexander,$4000.00,12225,AFSCME Council 31,10/19/2015
44426,07/01/2015,09/30/2015,27083,Jenelle,A,Alexander,$6285.00,25761,Uber Technologies,10/19/2015
44429,07/01/2015,09/30/2015,27083,Jenelle,A,Alexander,$1917.50,27142,Illinois Beverage Association,10/19/2015
43770,07/01/2015,09/30/2015,26462,Michael,,Alexander,$10000.00,24640,"Rising Medical Solutions, Inc.",10/15/2015
43772,07/01/2015,09/30/2015,26462,Michael,,Alexander,$5000.00,15781,ELECTRONIC KNOWLEDGE INTERCHANGE,10/15/2015
43777,07/01/2015,09/30/2015,26462,Michael,,Alexander,$3750.00,18801,"SSP America, Inc.",10/15/2015
43778,07/01/2015,09/30/2015,26462,Michael,,Alexander,$15750.00,13790,Northwestern University,10/15/2015
43781,07/01/2015,09/30/2015,26462,Michael,,Alexander,$7000.00,23301,"LMG2, LLC",10/15/2015
43782,07/01/2015,09/30/2015,26462,Michael,,Alexander,$10500.00,22321,"Xerox State & Local Solutions, Inc.",10/15/2015
43784,07/01/2015,09/30/2015,26462,Michael,,Alexander,$7500.00,21925,"Bluebird Network, LLC",10/15/2015
43786,07/01/2015,09/30/2015,26462,Michael,,Alexander,$3750.00,26801,"Scientific Games International, Inc.",10/15/2015
