Year,EMPLOYER_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,PHONE,FAX,CREATED_DATE,ACTIVE
2015,12051,3i Debt Management US LLC,One Grand Central Place,"60 East 42nd Street, 41 Floor",New York,NY,10165,United States,(212) 339-5400,(212) 339-5401,01/05/2015,Y
2014,4135,Acacia Financial Group Inc,"221 N. LaSalle St., #1500",,Chicago,IL,60601,United States,312-269-0041,312-236-1407      ,,Y
2014,10221,Acacia Financial Group Inc,601 Route 73 North,Suite 206,Marlton,NJ,08053,United States,856-234-2266,856-234-6697,01/16/2014,Y
2014,11061,Acacia Financial Group Inc,221 N. LaSalle St.,#1500,Chicago,IL,60601,United States,312-269-0041,312-236-1407      ,04/23/2014,Y
2013,4135,Acacia Financial Group Inc,"221 N. LaSalle St., #1500",,Chicago,IL,60601,United States,312-269-0041,312-236-1407      ,,Y
2013,4239,Acacia Financial Group Inc,"13000 Lincoln Dr. West, Ste. 206",,Marlton,NJ,08053,United States,856-234-2266,856-234-6697  ,,Y
2012,4135,Acacia Financial Group Inc,"221 N. LaSalle St., #1500",,Chicago,IL,60601,United States,312-269-0041,312-236-1407      ,,Y
2012,4239,Acacia Financial Group Inc,"13000 Lincoln Dr. West, Ste. 206",,Marlton,NJ,08053,United States,856-234-2266,856-234-6697  ,,Y
2012,4240,Acacia Financial Group Inc,"13000 Lincoln Dr. W, Ste. 206",,Marlton,NJ,08053,United States,856-234-2266,856-234-6697      ,,N
2012,4259,Acacia Financial Group Inc,"221 N. LaSalle St., #1500",,Chicago,IL,60601,United States,312-269-0041,312-236-1407        ,,N
2011,4135,Acacia Financial Group Inc,"221 N. LaSalle St., #1500",,Chicago,IL,60601,United States,312-269-0041,312-236-1407      ,,Y
2011,4239,Acacia Financial Group Inc,"13000 Lincoln Dr. West, Ste. 206",,Marlton,NJ,08053,United States,856-234-2266,856-234-6697  ,,Y
2011,4240,Acacia Financial Group Inc,"13000 Lincoln Dr. W, Ste. 206",,Marlton,NJ,08053,United States,856-234-2266,856-234-6697      ,,N
2011,4259,Acacia Financial Group Inc,"221 N. LaSalle St., #1500",,Chicago,IL,60601,United States,312-269-0041,312-236-1407        ,,N
2015,12083,"Acacia Financial Group, Inc.",601 Route 73 North,Suite 206,Marlton,NJ,08053,United States,8562342266,,01/16/2015,Y
,4423,ACS,2828 N. Haskell,,Dallas,TX,75204,United States,214-841-6111,      ,,Y
2011,4905,"ACS Infrastructure Development, Inc","One Alhambra Plaza, Ste. 610",,Coral Gables,FL,33134,United States,305-423-7606, 305-424-540    ,,Y
2013,7941,Actuate Corporation,"2207 Bridgepointe Parkway,  ",,"San Mateo,",CA,94404,United States,650-645-3000,,03/01/2013,Y
2015,4644,AdPod Media LLC,"155 N Michigan Ave. ,Ste. 765",,Chicago,IL,60601,United States,312-729-5033,      ,,Y
2014,4644,AdPod Media LLC,"155 N Michigan Ave. ,Ste. 765",,Chicago,IL,60601,United States,312-729-5033,      ,,Y
2013,4644,AdPod Media LLC,"155 N Michigan Ave. ,Ste. 765",,Chicago,IL,60601,United States,312-729-5033,      ,,Y
2012,4644,AdPod Media LLC,"155 N Michigan Ave. ,Ste. 765",,Chicago,IL,60601,United States,312-729-5033,      ,,Y
2011,4644,AdPod Media LLC,"155 N Michigan Ave. ,Ste. 765",,Chicago,IL,60601,United States,312-729-5033,      ,,Y
2012,4721,"A. Epstein and Sons International, Inc.",600 W. Fulton St.,,Chicago,IL,60661,United States,312-454-9100,312-559-1217        ,,Y
2011,4721,"A. Epstein and Sons International, Inc.",600 W. Fulton St.,,Chicago,IL,60661,United States,312-454-9100,312-559-1217        ,,Y
2012,4493,"Affiliated Computer Services, Inc","1800 M St., NW Ste. 700",,Washington,DC,20036,United States,202-776-1005,202-378-2610     ,,N
2012,4736,"Affiliated Computer Services, Inc","1800 M St., NW Ste. 700",,Washington,DC,20036,United States,202-776-1005,202-378-2610     ,,N
2011,4759,"Affiliated Computer Services, Inc","1800 M St., NW Ste. 700",,Washington,DC,20036,United States,202-776-1005,202-378-2610      ,,Y
2011,4765,"Affiliated Computer Services, Inc","1800 M St., NW Ste. 700",,Washington,DC,20036,United States,202-776-1005,202-378-2610  ,,N
2012,4466,A. Finkl & Sons Co.,2011 N. Southport Ave.,,Chicago,IL,60614,United States,773-975-2628, 773-248-845        ,,Y
2011,4466,A. Finkl & Sons Co.,2011 N. Southport Ave.,,Chicago,IL,60614,United States,773-975-2628, 773-248-845        ,,Y
2015,4320,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,312-641-6060,312-861-1672      ,,Y
2014,4320,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,312-641-6060,312-861-1672      ,,Y
2013,4320,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,312-641-6060,312-861-1672      ,,Y
2012,4320,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,312-641-6060,312-861-1672      ,,Y
2012,4570,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,312-641-6060,312-861-0979        ,,N
2012,4720,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,312-641-6060,312-861-1672        ,,N
2011,4320,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,312-641-6060,312-861-1672      ,,Y
2011,4570,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,312-641-6060,312-861-0979        ,,N
2011,4720,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,312-641-6060,312-861-1672        ,,N
2013,7901,Airport Management Services LLC,1 Meadowlands Plaza,Suite 902,East Rutherford,NJ,07073,United States,2019395050,,02/19/2013,Y
2015,8441,"Airport Management Services, LLC",One Meadowlands Plaza,#902,E. Rutherford,NJ,07073,United States,407-366-6571,407-977-7418       ,05/06/2013,Y
2014,4609,"Airport Management Services, LLC","One Meadowlands Plaza, #902",,E. Rutherford,NJ,07073,United States,407-366-6571,407-977-7418       ,,Y
