Year,LOBBYIST_ID,EMPLOYER_ID,CLIENT_ID,LOBBYIST_SALUTATION,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,LOBBYIST_SUFFIX,EMPLOYER_NAME,CLIENT_NAME
2015,24101,12361,25322,Mr.,Donald,R,Zoufal,,"CrowZnest Consulting, Inc",Star Traq USA
2015,24101,12361,25321,Mr.,Donald,R,Zoufal,,"CrowZnest Consulting, Inc",Geofeedia Inc
2015,22639,4398,12441,,Scott,A,Ziomek,,Northwestern Memorial Hospital,Northwestern Memorial Hospital
2015,22752,10241,15803,,Liberty,,Ziegahn,,Morgan Stanley & Co.  LLC,Morgan Stanley  & Co. LLC
2015,22505,8901,24485,,Marjorie,,Zessar,,General Growth Properties,"Water Tower, LLC"
2015,22505,8901,21353,,Marjorie,,Zessar,,General Growth Properties,"830 NMA, LLC"
2015,22996,12117,24676,Ms.,Constance,A,Zaio,,New Albertsons d/b/a Jewel-Osco,New Albertsons d/b/a Jewel-Osco
2015,22341,6781,16081,Mr.,Jonathon,,Yu,,Loop Capital Markets LLC,Loop Capital Markets
2015,24801,10241,15803,,Brian,,Wynne,,Morgan Stanley & Co.  LLC,Morgan Stanley  & Co. LLC
2015,22652,5801,12142,Mr.,Kevin,,Wrenn,,"Citibank, N.A.","Citibank, NA"
2015,22679,12084,24577,Mr.,Stephen,A,Wood,,Jefferies LLC,Jefferies LLC
2015,22355,10601,21521,,Brad,,Wollmer,,"RREEF AMERICA, LLC ","RREEF AMERICA, LLC "
2015,22347,11781,12807,Mr.,Kevin,J,Wolfberg,,Schain Banks Kenny & Schwartz,Clark Street Development
2015,26243,11781,12807,Mr.,Kevin,J,Wolfberg,,Schain Banks Kenny & Schwartz,Clark Street Development
2015,22410,11781,12807,Mr.,Kevin,J,Wolfberg,,Schain Banks Kenny & Schwartz,Clark Street Development
2015,22410,11781,17148,Mr.,Kevin,J,Wolfberg,,Schain Banks Kenny & Schwartz,Artis Senior Living
2015,26243,11781,17148,Mr.,Kevin,J,Wolfberg,,Schain Banks Kenny & Schwartz,Artis Senior Living
2015,22325,11861,24221,Mr.,Tom,,Wolf,,BP America,BP America
2015,28402,7428,16752,Mr.,Simon,,Wlodarski,,Bank of America Corporation,Bank of America Corporation
2015,26383,12801,26321,,Andrew,,Witt,,Morgan Stanley Investment Management Inc.,Morgan Stanley Investment Management Inc.
2015,22520,11761,21941,Mr.,Mike,,Withers,,Jewel-Osco,Jewel Osco
2015,22765,12090,12473,Mr.,Robert,M,Winter,,Robert Winter,BSB Holdings LLC
2015,27501,4750,27401,Mr.,Timothy,,Wilschetz,,"KPMG, LLP","KPMG, LLP"
2015,22619,4822,24526,Mr.,Sandor,D,Williams,,ComEd,ComEd
2015,25841,10188,26401,Mr.,Paul,L.,Williams,,Paul Williams,Altria Client Services LLC
2015,23981,10188,20996,Mr.,Paul,L.,Williams,,Paul Williams,Altria Client Services Inc. and Its Affiliates
2015,22972,10188,20996,Mr.,Paul,L.,Williams,,Paul Williams,Altria Client Services Inc. and Its Affiliates
2015,22464,9981,20841,Ms.,Jerrae,,Williams,,"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A."
2015,22390,6781,16081,Ms.,Lauretta,,Wild,,Loop Capital Markets LLC,Loop Capital Markets
2015,22825,10281,21089,Mr.,Donald,E,Wilbon,,J.P. Morgan Securities LLC,J.P. Morgan Securities LLC
2015,22515,4961,21634,Mr.,David,B,Wiegers,,Sensus North America,Sensus North America
2015,22675,12083,21021,,Noreen,P,White,,"Acacia Financial Group, Inc.","Acacia Financial Group, Inc."
2015,22674,12083,21030,,Kim,M,Whelan,,"Acacia Financial Group, Inc.","Acacia Financial Group, Inc."
2015,22426,6781,16081,Ms.,Jana,,Wesley,,Loop Capital Markets LLC,Loop Capital Markets
2015,23281,12221,24841,,Melissa,M,Weber,,Wm. Wrigley Jr. Company,Wm. Wrigley Jr. Company
2015,24703,10181,25681,Ms.,Kris,,Weaver,,"Xerox Business Services, LLC","Xerox Business Services, LLC"
2015,22673,5741,13687,,Kimberly,R,Weaver,,Constellation,Constellation Energy Group
2015,22495,12067,23061,Mr.,James,R,Watson,,Illinois Petroleum Council,Illinois Petroleum Council
2015,22653,5504,12249,Mr.,Jeffrey,D,Warner,,"PNC Bank, National Association",PNC Capital Markets LLC
2015,22653,5504,16841,Mr.,Jeffrey,D,Warner,,"PNC Bank, National Association",PNC Bank
2015,22278,7546,12433,Ms.,Freda,,Wang,,"Goldman, Sachs & Co.","Goldman, Sachs & Co"
2015,22380,6781,16081,Mr.,Robert,E,Walsh,,Loop Capital Markets LLC,Loop Capital Markets
2015,22691,10277,16946,,Jerry,B,Wallack,,Kutak Rock LLP,Kutak Rock LLP
2015,22721,9923,12436,Mr.,Steven (Alex),A,Wallace,,U.S. Bank National Association,US Bank Municipal Securities Group
2015,22721,9923,12435,Mr.,Steven (Alex),A,Wallace,,U.S. Bank National Association,"US Bancorp Investments, Inc"
2015,22659,12082,24537,Ms.,Karen,,Walker,,"Siebert Brandford Shank & Co., L.L.C.","Siebert Brandford Shank & Co., L.L.C."
2015,22401,7344,16705,Mr.,Todd,,Waldrop,,"Mesirow Financial, Inc.","Mesirow Financial, Inc."
2015,22498,4100,15682,Mr.,Milton,S,Wakschlag,,Katten Muchin Rosenman LLP,City of Chicago
2015,25801,12861,26421,Ms.,Amy,,Waggoner,,Salesforce,Salesforce
2015,24082,11801,24101,Ms.,Renee ,,Wadsworth,,Alliance of Automobile Manufacturers,Alliance of Automobile Manufacturers
2015,22872,10404,21203,Ms.,Pam,,Vermilye,,Cummins NPower LLC,Cummins NPower LLC
2015,22459,9923,12436,Mr.,Scott,,Verch,,U.S. Bank National Association,US Bank Municipal Securities Group
2015,22459,9923,12435,Mr.,Scott,,Verch,,U.S. Bank National Association,"US Bancorp Investments, Inc"
2015,22683,9321,16946,,Lance,C,Tyson,,Kutak Rock LLP,Kutak Rock LLP
2015,22968,8421,14046,Mr.,Charles,,Turley,,KPMG LLP,City of Chicago
2015,27868,6946,16264,Mr.,Stephen,,Truebner,,Philips Lighting,Philips Lighting
2015,22904,12106,21102,Mr.,James,R,Troutman,,Troutman & Dams LLC,"Troutman and Dams, LLC"
2015,25905,4543,17262,Mr.,Homero,,Tristan,,Tristan & Cervantes,Solano De C arrier
2015,22857,4543,17262,Mr.,Homero,,Tristan,,Tristan & Cervantes,Solano De C arrier
2015,22857,4543,14661,Mr.,Homero,,Tristan,,Tristan & Cervantes,Seven-D Construction Company
2015,25905,4543,14661,Mr.,Homero,,Tristan,,Tristan & Cervantes,Seven-D Construction Company
2015,22857,4543,24652,Mr.,Homero,,Tristan,,Tristan & Cervantes,Riot Fest Corporation
2015,25905,4543,24652,Mr.,Homero,,Tristan,,Tristan & Cervantes,Riot Fest Corporation
2015,22857,4543,16216,Mr.,Homero,,Tristan,,Tristan & Cervantes,McDonald's Corporation
2015,25905,4543,16216,Mr.,Homero,,Tristan,,Tristan & Cervantes,McDonald's Corporation
2015,22857,4543,14881,Mr.,Homero,,Tristan,,Tristan & Cervantes,"Crown Castle USA, Inc."
2015,25905,4543,14881,Mr.,Homero,,Tristan,,Tristan & Cervantes,"Crown Castle USA, Inc."
2015,22502,4793,24484,Ms.,Tanya,P,Triche,,Illinois Retail Merchants Assoc,Illinois Retail Merchants Association
2015,28442,10761,19101,,Kate,,Tragesser,,Krieg DeVault LLP,Tropical Optical Company
2015,24521,10761,19101,,Kate,,Tragesser,,Krieg DeVault LLP,Tropical Optical Company
2015,23361,10761,19101,,Kate,,Tragesser,,Krieg DeVault LLP,Tropical Optical Company
2015,22812,10761,19101,,Kate,,Tragesser,,Krieg DeVault LLP,Tropical Optical Company
2015,26841,10761,19101,,Kate,,Tragesser,,Krieg DeVault LLP,Tropical Optical Company
2015,28442,10761,27982,,Kate,,Tragesser,,Krieg DeVault LLP,S. Levy Foods
2015,23361,10761,24901,,Kate,,Tragesser,,Krieg DeVault LLP,RM Chin
2015,24521,10761,24901,,Kate,,Tragesser,,Krieg DeVault LLP,RM Chin
2015,28442,10761,24901,,Kate,,Tragesser,,Krieg DeVault LLP,RM Chin
2015,26841,10761,24901,,Kate,,Tragesser,,Krieg DeVault LLP,RM Chin
2015,28442,10761,24041,,Kate,,Tragesser,,Krieg DeVault LLP,"MOTRK, Inc."
2015,23361,10761,24041,,Kate,,Tragesser,,Krieg DeVault LLP,"MOTRK, Inc."
2015,26841,10761,24041,,Kate,,Tragesser,,Krieg DeVault LLP,"MOTRK, Inc."
2015,24521,10761,24041,,Kate,,Tragesser,,Krieg DeVault LLP,"MOTRK, Inc."
2015,22812,10761,24041,,Kate,,Tragesser,,Krieg DeVault LLP,"MOTRK, Inc."
2015,24521,10761,25541,,Kate,,Tragesser,,Krieg DeVault LLP,McMahon Food Corporation
2015,26841,10761,25541,,Kate,,Tragesser,,Krieg DeVault LLP,McMahon Food Corporation
2015,28442,10761,25541,,Kate,,Tragesser,,Krieg DeVault LLP,McMahon Food Corporation
2015,26841,10761,27041,,Kate,,Tragesser,,Krieg DeVault LLP,"K & K Coffee, LLC"
2015,28442,10761,27041,,Kate,,Tragesser,,Krieg DeVault LLP,"K & K Coffee, LLC"
2015,23361,10761,24902,,Kate,,Tragesser,,Krieg DeVault LLP,Impressions International Inc. 
2015,24521,10761,24902,,Kate,,Tragesser,,Krieg DeVault LLP,Impressions International Inc. 
2015,28442,10761,24902,,Kate,,Tragesser,,Krieg DeVault LLP,Impressions International Inc.
2015,26841,10761,24902,,Kate,,Tragesser,,Krieg DeVault LLP,Impressions International Inc.
2015,26841,10761,24635,,Kate,,Tragesser,,Krieg DeVault LLP,Georgios Pizza
2015,23361,10761,24635,,Kate,,Tragesser,,Krieg DeVault LLP,Georgios Pizza
2015,28442,10761,24635,,Kate,,Tragesser,,Krieg DeVault LLP,Georgios Pizza
2015,24521,10761,24635,,Kate,,Tragesser,,Krieg DeVault LLP,Georgios Pizza
2015,22812,10761,24635,,Kate,,Tragesser,,Krieg DeVault LLP,Georgios Pizza
2015,26841,10761,24634,,Kate,,Tragesser,,Krieg DeVault LLP,Flying Retail
2015,24521,10761,24634,,Kate,,Tragesser,,Krieg DeVault LLP,Flying Retail
2015,28442,10761,24634,,Kate,,Tragesser,,Krieg DeVault LLP,Flying Retail
2015,22812,10761,24634,,Kate,,Tragesser,,Krieg DeVault LLP,Flying Retail
2015,23361,10761,24634,,Kate,,Tragesser,,Krieg DeVault LLP,Flying Retail
2015,24521,10761,13629,,Kate,,Tragesser,,Krieg DeVault LLP,Clear Channel Airports
2015,26841,10761,13629,,Kate,,Tragesser,,Krieg DeVault LLP,Clear Channel Airports
2015,28442,10761,13629,,Kate,,Tragesser,,Krieg DeVault LLP,Clear Channel Airports
2015,22812,10761,13629,,Kate,,Tragesser,,Krieg DeVault LLP,Clear Channel Airports
2015,23361,10761,13629,,Kate,,Tragesser,,Krieg DeVault LLP,Clear Channel Airports
